Images,REQ_SCORE,No. Of Matches_req,LL,UL,White with color,Limit
8segment.jpg,700,1,2.5,20,TRUE,60000
Battery.jpg,750,1,2.5,20,FALSE,60
Bluetooth.jpg,750,1,2.5,20,FALSE,60
Fast_Charging.jpg,750,1,2.5,20,FALSE,60
HighBeam.jpg,750,1,2.5,20,FALSE,60
hillhold.jpg,750,1,2.5,20,FALSE,60
Indicators.jpg,750,1,2.5,20,FALSE,60
kmph.jpg,700,1,200,255,TRUE,2000
lite_blue curve.jpg,750,1,70,120,TRUE,77000
Mode_ODO.jpg,750,1,80,150,TRUE,23000
MOTOR_ON.jpg,750,1,2.5,20,FALSE,60
Orange_warning.jpg,750,1,2.5,20,FALSE,60
Plug_lock.jpg,750,1,2.5,20,FALSE,60
range_charge.jpg,750,1,90,120,TRUE,10000
red_curve.jpg,750,1,70,150,TRUE,26000
red_indicators.jpg,750,1,2.5,20,FALSE,60
red_warning.jpg,750,1,2.5,20,FALSE,60
regen.jpg,750,1,2.5,20,FALSE,60
Ride.jpg,750,1,2.5,20,FALSE,60
service.jpg,750,1,2.5,20,FALSE,60
sidestand.jpg,750,1,2.5,20,FALSE,60
Signal.jpg,750,1,2.5,20,FALSE,60
sleep.jpg,750,1,2.5,20,FALSE,60
tortoise.jpg,750,1,2.5,20,FALSE,60
